OBJECTID,UR2022_V1_00,UR2022_V1_00_NAME,UR2022_V1_00_NAME_ASCII,IUR2022_V1_00,IUR2022_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length,Shape_Area
1,1001,Pukenui,Pukenui,21,Rural settlement,20.69233467,20.69233467,26481.91538,20692341.91
2,1002,Kaimaumau,Kaimaumau,21,Rural settlement,37.08649885,37.08649885,32229.27267,37086090.49
3,1003,Tokerau Beach,Tokerau Beach,21,Rural settlement,0.77961338,0.77961338,5234.776587,779588.776
4,1004,Karikari,Karikari,21,Rural settlement,6.65916423,6.65916423,18409.88508,6659206.563
5,1005,Awanui,Awanui,21,Rural settlement,0.96215004,0.96215004,6491.870755,962206.9456
6,1006,Ahipara,Ahipara,21,Rural settlement,4.52817343,4.52817343,15908.06887,4527638.694
7,1007,Kaitāia,Kaitaia,14,Small urban area,8.47857741,8.47857741,16162.13532,8478648.964
8,1008,Taipā,Taipa,21,Rural settlement,0.53558987,0.53558987,3680.235321,535782.9291
9,1009,Cable Bay,Cable Bay,21,Rural settlement,3.63439625,3.63439625,13902.04611,3634496.332
10,1010,Coopers Beach,Coopers Beach,21,Rural settlement,1.72265557,1.72265557,10680.00904,1722675.304
11,1011,Hihi,Hihi,21,Rural settlement,1.43076207,1.43076207,9171.761746,1430872.932
12,1012,Mangōnui,Mangonui,21,Rural settlement,4.39032189,4.39032189,11139.42466,4390179.668
13,1013,Other rural Far North District,Other rural Far North District,22,Rural other,6469.52548,6469.52548,2263816.216,6469519532
14,1014,Whangaroa,Whangaroa,21,Rural settlement,1.26807656,1.26807656,9140.02546,1268081.829
15,1016,Kāeo,Kaeo,21,Rural settlement,1.38921042,1.38921042,6856.308885,1388886.995
16,1017,Kohukohu,Kohukohu,21,Rural settlement,4.26480097,4.26480097,11966.30214,4264479.413
17,1018,Rāwene,Rawene,21,Rural settlement,2.14775254,2.14775254,9257.621721,2147676.986
18,1019,Opononi,Opononi,21,Rural settlement,0.49683538,0.49683538,4470.281254,496912.561
19,1020,Ōmāpere,Omapere,21,Rural settlement,12.90872581,12.90872581,25917.55094,12908514.11
20,1021,Ōkaihau,Okaihau,21,Rural settlement,3.55767684,3.55767684,12907.33,3557429.562
21,1022,Waipapa,Waipapa,21,Rural settlement,1.07341475,1.07341475,6643.81364,1073156.946
22,1023,Inland water Far North District,Inland water Far North District,31,Inland water,0,12.3478204,15307.33194,12347632.97
23,1024,Rangitāne,Rangitane,21,Rural settlement,3.74888721,3.74888721,13628.3606,3748744.245
